file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DSC-35-5-4685_m0386,41.48,39.44,8.99,42.03,35.06,36.62,40.29,35.94,41.48,41.48,41.48,41.48,9.09,37.24,43.8,41.48
PT-TT-SNI-DSC-35-5-4772_m0468,59.7,62.69,0.0,61.11,52.05,55.56,59.7,36.36,59.7,59.7,59.7,59.7,12.5,58.33,64.79,59.7
PT-TT-SNI-DSC-35-5-4852_m0542,22.56,12.02,1.04,21.82,40.53,8.61,19.77,7.44,22.56,22.56,22.56,22.56,7.08,32.45,17.21,22.56
PT-TT-SNI-DSC-35-5-4904_m0592,58.59,59.18,30.23,50.51,43.64,56.0,54.55,46.6,58.59,58.59,58.59,58.59,3.7,55.45,48.98,58.59
PT-TT-SNI-DSC-35-5-4969_m0656,32.43,35.82,0.0,45.57,30.11,49.38,32.43,36.11,32.43,32.43,32.43,32.43,4.21,53.85,44.44,32.43
PT-TT-SNI-DSC-35-5-4995_m0682,45.57,37.97,10.53,44.71,34.78,34.57,40.51,23.88,45.57,45.57,45.57,45.57,5.71,37.97,41.98,45.57
PT-TT-SNI-DSC-35-5-5102_m0773,50.72,51.85,12.99,52.55,47.55,51.47,49.28,54.14,50.72,50.72,50.72,50.72,23.13,50.36,48.92,50.72
PT-TT-SNI-DSC-35-5-5260_m0915,40.0,38.3,10.71,37.5,33.33,37.89,37.36,39.56,40.0,40.0,40.0,40.0,9.64,37.89,38.78,40.0
PT-TT-SNI-DSC-35-5-5355_m0977,49.04,49.3,24.34,47.32,42.61,51.61,48.08,50.46,49.04,49.04,49.04,49.04,9.85,51.92,50.98,49.04
PT-TT-SNI-DSC-35-5-5413_m1037,46.75,38.89,4.44,46.75,38.96,40.51,37.5,43.48,46.75,46.75,46.75,46.75,27.03,36.62,38.55,46.75
PT-TT-SNI-DSC-35-5-5413_m1038,47.37,33.8,14.55,41.03,40.51,41.56,41.56,43.59,47.37,47.37,47.37,47.37,10.96,31.17,37.97,47.37
PT-TT-SNI-DSC-35-5-5438_m1087,40.58,33.9,14.63,38.81,47.22,42.62,42.86,43.33,40.58,40.58,40.58,40.58,22.22,34.29,32.35,40.58
PT-TT-SNI-DSC-35-5-5438_m1088,34.21,28.12,8.16,35.44,27.5,35.82,31.17,31.43,34.21,34.21,34.21,34.21,2.67,18.67,27.03,34.21
PT-TT-SNI-DSC-35-5-5520_m1222,15.09,21.62,4.65,38.1,32.97,33.33,11.11,28.57,15.09,15.09,15.09,15.09,6.06,31.88,42.35,15.09
PT-TT-SNI-DSC-35-5-5520_m1223,38.2,40.48,25.4,40.43,29.63,41.3,40.0,42.86,38.2,38.2,38.2,38.2,4.26,37.97,39.18,38.2
PT-TT-SNI-DSC-35-5-5523_m1228,36.59,24.69,4.65,39.44,30.11,32.43,36.59,18.52,36.59,36.59,36.59,36.59,8.33,35.71,33.73,36.59
PT-TT-SNI-DSC-35-5-5523_m1229,35.56,30.0,20.69,32.0,33.68,32.94,31.58,39.51,35.56,35.56,35.56,35.56,13.33,32.88,30.77,35.56
PT-TT-SNI-DSC-35-5-5574_m1318,38.98,39.66,8.0,41.94,35.77,32.26,40.32,39.66,38.98,38.98,38.98,38.98,23.42,38.33,35.66,38.98
PT-TT-SNI-DSC-35-5-5574_m1319,39.06,33.87,27.18,38.52,34.92,33.85,37.21,30.89,39.06,39.06,39.06,39.06,4.12,42.28,31.5,39.06
PT-TT-SNI-DSC-35-5-5587_m1344,32.69,27.4,0.0,36.73,27.78,19.51,28.85,31.17,32.69,32.69,32.69,32.69,14.29,35.56,29.7,32.69
PT-TT-SNI-DSC-35-5-5587_m1345,45.54,36.89,16.22,38.78,34.62,31.91,38.83,45.98,45.54,45.54,45.54,45.54,16.49,37.74,40.78,45.54
PT-TT-SNI-DSC-35-5-5612_m1394,25.26,14.12,3.23,25.49,27.35,21.28,23.66,21.62,25.26,25.26,25.26,25.26,25.53,25.26,22.68,25.26
PT-TT-SNI-DSC-35-5-5612_m1395,31.3,27.59,3.03,30.0,29.06,31.86,34.43,33.33,31.3,31.3,31.3,31.3,2.02,28.32,25.42,31.3
PT-TT-SNI-DSC-35-5-5640_m1445,32.69,17.98,5.19,29.91,50.42,28.87,35.85,16.67,32.69,32.69,32.69,32.69,22.4,42.86,16.16,32.69
PT-TT-SNI-DSC-35-5-5640_m1446,47.86,51.61,23.66,51.67,42.42,52.99,45.38,40.35,47.86,47.86,47.86,47.86,6.5,50.88,46.15,47.86
PT-TT-SNI-DSC-35-5-5667_m1495,27.37,12.82,7.5,12.35,32.81,20.0,29.17,13.95,27.37,27.37,27.37,27.37,17.74,40.74,11.9,27.37
PT-TT-SNI-DSC-35-5-5745_m1577,63.46,53.2,1.71,66.67,58.42,49.48,59.62,56.85,63.46,63.46,63.46,63.46,37.86,62.38,63.11,63.46
PT-TT-SNI-DSC-35-5-6193_m1988,52.43,48.6,28.24,50.47,44.23,42.72,44.86,44.23,52.43,52.43,52.43,52.43,25.0,51.92,48.15,52.43
PT-TT-SNI-DSC-35-5-6231_m2030,21.28,21.05,0.0,16.0,17.14,17.24,17.02,22.64,21.28,21.28,21.28,21.28,24.62,19.23,23.08,21.28
PT-TT-SNI-DSC-35-5-6279_m2076,26.97,30.56,3.7,31.33,27.4,29.33,22.22,31.25,26.97,26.97,26.97,26.97,11.11,25.81,27.27,26.97
PT-TT-SNI-DSC-35-5-6298_m2094,28.57,31.82,13.33,28.57,23.53,25.0,30.38,25.35,28.57,28.57,28.57,28.57,5.71,28.57,25.58,28.57
PT-TT-SNI-DSC-35-5-6300_m2096,35.62,24.24,0.0,32.84,21.36,17.54,33.33,31.88,35.62,35.62,35.62,35.62,3.08,26.23,22.22,35.62
PT-TT-SNI-DSC-35-5-6397_m2182,57.47,54.35,36.36,58.39,57.8,55.43,57.47,56.82,57.47,57.47,57.47,57.47,24.28,57.47,60.0,57.47
PT-TT-SNI-DSC-35-5-6452_m2215,50.0,57.39,31.07,53.66,46.77,52.54,50.91,50.79,50.0,50.0,50.0,50.0,23.33,50.0,48.15,50.0
PT-TT-SNI-DSC-35-6-8717_m0026,57.14,56.34,0.0,60.09,55.4,57.94,58.77,56.74,57.14,57.14,57.14,57.14,37.38,57.14,57.42,57.14
PT-TT-SNI-DSC-35-6-8717_m0027,67.72,65.08,3.13,65.6,56.64,60.0,66.14,62.4,67.72,67.72,67.72,67.72,44.12,65.55,68.75,67.72
PT-TT-SNI-DSC-35-6-8794_m0134,47.37,50.0,0.0,38.93,41.54,48.32,43.42,40.99,47.37,47.37,47.37,47.37,23.01,46.67,47.68,47.37
PT-TT-SNI-DSC-35-6-8794_m0135,33.33,40.6,3.74,39.69,44.44,43.97,33.33,42.25,33.33,33.33,33.33,33.33,13.33,41.96,34.15,33.33
PT-TT-SNI-DSC-35-6-8809_m0152,63.08,58.27,39.71,58.91,56.49,57.35,62.5,60.47,63.08,63.08,63.08,63.08,30.3,63.08,59.09,63.08
PT-TT-SNI-DSC-35-6-8843_m0190,56.47,53.41,40.0,57.74,57.57,64.37,56.47,64.39,56.47,56.47,56.47,56.47,38.87,56.47,54.44,56.47
