file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat
PT-TT-SNI-DSC-9-24_m0001,61.06,61.06,82.26,50.46,67.28,34.33,0.23,66.59,39.17,61.06,0.23,46.77,61.06,10.37,67.28,57.83
PT-TT-SNI-DSC-9-417_m0002,55.66,55.66,55.47,62.89,60.85,45.08,8.16,56.22,7.79,55.66,0.0,68.09,55.66,22.63,42.12,63.45
PT-TT-SNI-DSC-9-6-1_m0002,61.19,61.19,85.62,87.67,61.87,44.75,3.65,55.48,34.25,61.19,0.23,54.79,61.19,0.0,58.22,38.58
PT-TT-SNI-DSC-9-848_m0000,34.81,34.81,52.3,61.84,56.89,36.04,0.0,34.45,42.58,34.81,0.18,52.65,34.81,29.15,40.81,26.86
PT-TT-SNI-DGE-1-6745_m0006,80.84,80.84,81.78,70.56,80.84,66.36,71.96,80.37,80.84,80.84,0.47,67.76,80.84,38.32,62.15,70.09
PT-TT-SNI-DSC-35-1-2182_m0673,20.0,20.0,25.0,11.39,32.22,75.83,67.22,19.44,72.22,20.0,0.28,46.67,20.0,49.17,53.61,22.5
PT-TT-SNI-DSC-35-1-2191_m0679,83.4,83.4,83.78,76.45,80.31,77.61,37.07,82.63,71.04,83.4,0.0,72.2,83.4,72.97,52.12,77.99
PT-TT-SNI-DSC-35-1-2193_m0681,83.54,83.54,80.12,80.43,86.96,86.02,34.78,83.85,78.57,83.54,0.31,71.74,83.54,54.35,83.54,79.5
PT-TT-SNI-DSC-35-1-2195_m0683,87.31,87.31,87.56,86.8,84.77,84.26,64.97,87.31,73.1,87.31,0.0,73.6,87.31,61.93,84.52,87.06
PT-TT-SNI-DSC-35-1-2219_m0705,86.1,86.1,88.06,79.92,86.52,89.89,82.16,84.83,76.12,86.1,0.14,83.99,86.1,69.52,89.19,88.34
PT-TT-SNI-DSC-35-2-6467_m0002,68.18,68.18,63.88,64.83,63.88,56.46,6.46,67.46,32.3,68.18,0.24,50.24,68.18,28.95,62.44,66.75
