file,bilateral_filtering
PT-TT-SNI-DSC-35-5-4581_m0288,76.61
PT-TT-SNI-DSC-35-5-4666_m0370,72.59
PT-TT-SNI-DSC-35-5-4683_m0384,61.81
PT-TT-SNI-DSC-35-5-4685_m0386,68.52
PT-TT-SNI-DSC-35-5-4772_m0468,90.42
PT-TT-SNI-DSC-35-5-4852_m0542,45.04
PT-TT-SNI-DSC-35-5-4904_m0592,64.16
PT-TT-SNI-DSC-35-5-4969_m0656,60.63
PT-TT-SNI-DSC-35-5-4995_m0682,64.99
PT-TT-SNI-DSC-35-5-5102_m0773,82.18
PT-TT-SNI-DSC-35-5-5260_m0915,63.55
PT-TT-SNI-DSC-35-5-5355_m0977,72.6
PT-TT-SNI-DSC-35-5-5413_m1037,69.09
PT-TT-SNI-DSC-35-5-5413_m1038,68.36
PT-TT-SNI-DSC-35-5-5438_m1087,74.32
PT-TT-SNI-DSC-35-5-5438_m1088,57.59
PT-TT-SNI-DSC-35-5-5520_m1222,63.01
PT-TT-SNI-DSC-35-5-5520_m1223,59.56
PT-TT-SNI-DSC-35-5-5523_m1228,63.24
PT-TT-SNI-DSC-35-5-5523_m1229,59.81
PT-TT-SNI-DSC-35-5-5574_m1318,66.67
PT-TT-SNI-DSC-35-5-5574_m1319,59.95
PT-TT-SNI-DSC-35-5-5587_m1344,69.71
PT-TT-SNI-DSC-35-5-5587_m1345,64.86
PT-TT-SNI-DSC-35-5-5612_m1394,44.91
PT-TT-SNI-DSC-35-5-5612_m1395,50.87
PT-TT-SNI-DSC-35-5-5640_m1445,58.24
PT-TT-SNI-DSC-35-5-5640_m1446,74.25
PT-TT-SNI-DSC-35-5-5667_m1495,47.62
PT-TT-SNI-DSC-35-5-5745_m1577,85.23
PT-TT-SNI-DSC-35-5-6193_m1988,75.61
PT-TT-SNI-DSC-35-5-6231_m2030,25.61
PT-TT-SNI-DSC-35-5-6279_m2076,46.65
PT-TT-SNI-DSC-35-5-6298_m2094,42.54
PT-TT-SNI-DSC-35-5-6300_m2096,32.61
PT-TT-SNI-DSC-35-5-6397_m2182,82.03
PT-TT-SNI-DSC-35-5-6452_m2215,50.0
PT-TT-SNI-DSC-35-6-8717_m0026,87.29
PT-TT-SNI-DSC-35-6-8717_m0027,74.84
PT-TT-SNI-DSC-35-6-8794_m0134,62.31
PT-TT-SNI-DSC-35-6-8794_m0135,54.36
PT-TT-SNI-DSC-35-6-8809_m0152,80.28
PT-TT-SNI-DSC-35-6-8843_m0190,81.9
PT-TT-SNI-DSC-35-6-8843_m0191,86.98
PT-TT-SNI-DSC-35-6-8886_m0246,89.06
PT-TT-SNI-DSC-35-6-8886_m0247,90.08
PT-TT-SNI-DSC-35-6-8908_m0277,90.08
PT-TT-SNI-DSC-35-6-8933_m0314,87.1
PT-TT-SNI-DSC-35-6-8933_m0315,88.65
PT-TT-SNI-DSC-35-6-8969_m0357,87.46
PT-TT-SNI-DSC-35-6-8969_m0358,78.82
PT-TT-SNI-DSC-35-6-9038_m0442,87.69
PT-TT-SNI-DSC-35-6-9101_m0487,92.01
PT-TT-SNI-DSC-35-6-9101_m0488,88.01
PT-TT-SNI-DSC-35-6-9105_m0492,61.88
PT-TT-SNI-DSC-35-6-9105_m0493,85.45
PT-TT-SNI-DSC-35-6-9105_m0494,92.77
PT-TT-SNI-DSC-35-6-9105_m0495,93.11
PT-TT-SNI-DSC-35-6-9131_m0536,87.0
PT-TT-SNI-DSC-35-6-9140_m0549,84.06
PT-TT-SNI-DSC-35-6-9140_m0550,66.67
PT-TT-SNI-DSC-35-6-9275_m0721,87.29
PT-TT-SNI-DSC-35-6-9284_m0740,84.58
PT-TT-SNI-DSC-35-6-9373_m0757,67.08
PT-TT-SNI-DSC-35-7-7260_m0002,41.37
PT-TT-SNI-DSC-35-7-7266_m0008,63.06
PT-TT-SNI-DSC-35-7-7275_m0017,79.32
PT-TT-SNI-DSC-35-7-7291_m0032,74.37
PT-TT-SNI-DSC-35-7-7300_m0041,86.01
PT-TT-SNI-DSC-35-7-7300_m0042,91.82
PT-TT-SNI-DSC-35-7-7310_m0052,73.37
PT-TT-SNI-DSC-35-7-7327_m0069,63.32
PT-TT-SNI-DSC-35-7-7402_m0146,76.75
PT-TT-SNI-DSC-35-7-7476_m0227,62.52
PT-TT-SNI-DSC-35-7-7498_m0248,41.48
