file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,adaptive_threshold0,adaptive_threshold1
PT-TT-SNI-DSC-13-12_m0001,57.14,55.17,58.82,48.28,60.61,58.82,58.82,42.86,48.28,32.0,40.0,32.0,0.0,0.0,34.48,0.0,0.0
PT-TT-SNI-DSC-19-81_m0001,6.9,33.33,29.63,33.33,26.67,0.0,7.41,0.0,0.0,10.0,10.53,0.0,10.53,0.0,10.0,0.0,0.0
PT-TT-SNI-DSC-24-210_m0001,13.16,10.81,12.99,11.43,13.51,0.0,16.22,6.67,15.09,0.0,21.18,3.57,15.79,0.0,8.08,0.0,0.0
PT-TT-SNI-DSC-9-169_m0001,23.91,23.16,25.81,25.0,17.58,0.0,19.57,9.45,12.5,4.0,11.76,4.0,7.41,0.0,15.25,0.0,0.0
PT-TT-SNI-DSC-9-24_m0001,37.5,42.2,45.87,38.18,44.44,13.08,40.35,8.51,26.0,3.45,34.62,3.39,3.51,0.0,21.43,0.0,0.0
PT-TT-SNI-DSC-9-417_m0002,34.59,24.79,26.23,28.8,19.13,0.0,27.27,0.0,19.12,3.12,18.32,3.12,3.51,1.23,11.19,0.0,0.0
PT-TT-SNI-DSC-9-6-1_m0002,36.36,36.0,50.98,38.78,49.5,25.24,39.25,27.72,0.0,3.77,3.77,3.77,0.0,0.0,21.05,0.0,0.0
PT-TT-SNI-DSC-9-848_m0000,18.49,19.05,20.9,21.14,13.56,0.0,18.97,13.99,9.6,2.82,8.55,2.82,0.0,0.0,15.79,0.0,0.0
PT-TT-SNI-DGE-1-6745_m0006,44.83,21.74,35.71,21.82,36.36,23.81,36.07,0.0,0.0,0.0,0.0,19.35,0.0,0.0,35.71,0.0,0.0
PT-TT-SNI-DSC-35-1-2182_m0673,21.43,0.0,14.93,4.17,13.79,43.48,21.43,46.34,7.69,0.0,8.45,0.0,2.74,0.0,53.33,0.0,0.0
PT-TT-SNI-DSC-35-1-2191_m0679,64.79,17.78,52.17,35.71,48.48,63.77,55.56,56.72,17.24,0.0,29.03,0.0,16.0,0.0,67.65,0.0,0.0
PT-TT-SNI-DSC-35-1-2193_m0681,64.1,41.18,49.35,41.67,53.16,51.95,60.76,42.5,18.52,0.0,24.56,0.0,7.14,0.0,54.55,0.0,0.0
PT-TT-SNI-DSC-35-1-2195_m0683,61.11,24.66,54.0,23.26,52.83,55.56,50.45,34.29,23.81,0.0,22.5,0.0,11.49,2.78,57.14,0.0,0.0
PT-TT-SNI-DSC-35-1-2219_m0705,65.96,2.04,32.73,5.13,8.0,56.85,53.19,41.94,0.0,0.0,21.56,0.0,0.0,0.0,63.64,0.0,0.0
PT-TT-SNI-DSC-35-2-6467_m0002,39.37,20.18,32.52,18.69,31.93,28.89,40.98,23.91,21.18,0.0,17.82,0.0,7.32,2.86,36.52,0.0,0.0
