file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat
PT-TT-SNI-DSC-13-10_m0289,60.76,60.76,60.12,60.0,60.38,58.33,49.1,60.38,39.05,60.76,0.0,53.57,60.76,50.6,60.76,56.97
PT-TT-SNI-DSC-13-10_m0291,45.09,45.09,45.83,20.98,46.24,35.41,37.0,44.57,29.85,45.09,0.0,42.55,45.09,24.39,46.51,39.6
PT-TT-SNI-DSC-13-10_m0319,70.59,70.59,69.82,69.82,72.62,57.14,23.12,65.88,19.88,70.59,0.0,66.27,70.59,8.99,72.19,70.93
PT-TT-SNI-DSC-13-10_m0320,47.06,47.06,48.48,51.06,50.85,47.13,54.02,48.04,39.33,47.06,0.0,57.93,47.06,32.79,62.59,51.98
PT-TT-SNI-DSC-13-10_m0321,64.07,64.07,64.07,59.48,63.48,48.51,39.83,62.93,13.91,64.07,0.0,66.96,64.07,6.9,63.2,63.79
PT-TT-SNI-DSC-13-10_m0322,51.65,51.65,44.68,41.72,51.31,43.98,45.16,51.98,34.36,51.65,0.0,50.3,51.65,31.11,48.59,50.87
PT-TT-SNI-DSC-13-10_m0323,53.5,53.5,49.77,39.81,59.03,50.0,16.48,53.5,41.63,53.5,0.0,50.61,53.5,42.26,53.28,51.59
PT-TT-SNI-DSC-13-10_m0372,66.67,66.67,63.3,60.47,66.44,58.75,25.32,57.91,12.78,66.67,0.0,62.84,66.67,10.6,66.67,65.33
PT-TT-SNI-DSC-13-10_m0374,63.59,63.59,62.78,62.78,63.59,54.15,54.24,62.39,30.7,63.59,0.0,60.55,63.59,45.07,63.59,58.97
PT-TT-SNI-DSC-13-10_m0375,57.55,57.55,58.82,60.74,56.43,60.38,59.93,57.04,51.47,57.55,0.0,61.65,57.55,42.81,57.55,57.86
PT-TT-SNI-DSC-13-10_m0376,75.47,75.47,76.23,75.47,75.19,73.68,73.76,75.94,67.88,75.47,0.0,72.73,75.47,54.41,75.47,75.94
PT-TT-SNI-DSC-13-10_m0377,77.13,77.13,77.55,76.87,77.82,75.51,77.82,77.82,62.54,77.13,0.0,76.87,77.13,60.87,77.13,77.82
PT-TT-SNI-DSC-13-10_m0379,75.78,75.78,75.1,76.38,76.38,72.09,72.37,73.93,68.46,75.78,0.0,73.02,75.78,59.0,75.78,71.64
PT-TT-SNI-DSC-13-10_m0380,75.61,75.61,77.3,78.05,76.83,74.39,75.61,74.39,50.0,75.61,0.0,73.94,75.61,51.46,76.83,76.07
PT-TT-SNI-DSC-13-10_m0416,65.52,65.52,62.79,64.74,63.22,63.22,49.43,64.0,18.6,65.52,0.0,62.43,65.52,3.96,63.22,62.43
PT-TT-SNI-DSC-13-10_m0419,66.67,66.67,68.38,63.25,67.24,66.67,55.65,64.41,36.84,66.67,0.0,61.4,66.67,38.66,55.36,63.25
PT-TT-SNI-DSC-13-10_m0420,38.46,38.46,14.74,6.32,42.25,54.19,49.68,36.92,39.74,38.46,0.0,51.61,38.46,40.0,59.21,56.79
PT-TT-SNI-DSC-13-10_m0461,48.25,48.25,49.34,42.42,56.46,54.21,39.82,48.72,39.64,48.25,0.0,51.61,48.25,41.41,53.21,49.34
PT-TT-SNI-DSC-13-10_m0462,62.22,62.22,60.22,60.45,63.2,56.83,2.34,52.9,12.01,62.22,0.0,55.73,62.22,3.07,61.25,60.97
PT-TT-SNI-DSC-13-10_m0484,63.09,63.09,66.45,57.06,61.64,62.26,15.79,61.49,47.84,63.09,0.0,60.19,63.09,45.57,61.35,60.32
PT-TT-SNI-DSC-13-10_m0487,59.09,59.09,56.96,55.52,58.33,53.11,52.98,60.0,39.87,59.09,0.0,57.7,59.09,46.92,59.09,53.25
PT-TT-SNI-DSC-13-10_m0489,37.55,37.55,11.63,13.79,37.55,51.74,0.0,34.16,41.18,37.55,0.0,48.65,37.55,18.79,54.49,55.24
PT-TT-SNI-DSC-13-10_m0491,26.49,26.49,17.78,8.93,28.03,33.15,32.18,23.38,34.25,26.49,0.0,31.06,26.49,26.09,26.49,30.68
PT-TT-SNI-DSC-13-10_m0548,58.58,58.58,57.14,55.97,59.23,58.87,0.0,59.32,46.96,58.58,0.0,56.9,58.58,43.27,58.82,62.01
PT-TT-SNI-DSC-19-13_2_m0003,60.4,60.4,35.77,24.53,60.0,58.11,57.52,59.6,56.38,60.4,0.0,56.55,60.4,40.52,63.58,65.36
PT-TT-SNI-DSC-19-13_3_m0004,53.75,53.75,51.9,48.45,53.5,46.84,52.83,52.5,35.06,53.75,0.0,50.33,53.75,32.53,42.94,46.24
PT-TT-SNI-DSC-24-203_m0007,56.0,56.0,54.62,50.6,57.83,48.16,47.06,52.59,12.81,56.0,0.0,47.66,56.0,20.19,58.27,53.33
PT-TT-SNI-DSC-35-6-9242_m0676,56.34,56.34,53.24,63.7,55.94,52.7,36.49,57.34,43.84,56.34,0.0,51.03,56.34,36.62,56.16,56.94
PT-TT-SNI-DSC-35-8-9363_m0539,24.11,24.11,5.13,1.72,30.0,39.81,38.67,20.83,44.44,24.11,0.0,39.58,24.11,28.18,37.89,29.63
PT-TT-SNI-DSC-35-8-9368_m0548,69.72,69.72,70.19,66.04,69.16,66.98,36.84,68.84,54.95,69.72,0.0,66.05,69.72,45.07,70.75,69.52
PT-TT-SNI-DSC-9-73_m0003,74.92,74.92,72.44,73.55,76.62,68.59,0.0,73.14,35.57,74.92,0.0,71.2,74.92,29.09,73.38,74.19
PT-TT-SNI-DSC-9-73_m0004,71.33,71.33,72.14,73.31,73.94,67.81,0.0,73.87,19.43,71.33,0.0,72.79,71.33,33.44,72.73,72.79
PT-TT-SNI-DSC-9-73_m0006,50.0,50.0,38.3,38.3,38.3,12.0,0.0,25.0,0.0,50.0,0.0,39.13,50.0,11.54,44.0,36.73
PT-TT-SNI-DSC-9-73_m0007,47.3,47.3,52.35,46.67,49.66,39.19,0.0,43.84,31.11,47.3,0.0,43.71,47.3,9.38,46.98,49.01
PT-TT-SNI-DSC-9-73_m0021,73.42,73.42,71.79,70.89,73.42,48.72,0.0,68.35,18.46,73.42,0.0,73.42,73.42,37.65,53.97,69.23
PT-TT-SNI-DSC-9-857_m0002,52.54,52.54,41.03,46.55,62.02,70.23,60.15,46.96,0.0,52.54,0.0,68.38,52.54,54.14,71.21,78.4
PT-TT-SNI-DSC-9-857_m0004,68.92,68.92,68.03,64.9,65.79,68.46,68.06,67.11,49.32,68.92,0.0,66.67,68.92,46.58,63.58,65.36
PT-TT-SNI-DSC-9-857_m0005,71.01,71.01,73.14,73.62,71.24,70.06,67.52,69.71,58.52,71.01,0.0,72.73,71.01,41.36,73.72,73.62
PT-TT-SNI-DSC-9-857_m0006,67.16,67.16,71.21,68.15,69.7,69.17,59.26,66.17,37.31,67.16,0.0,69.17,67.16,39.71,67.16,69.63
PT-TT-SNI-DSC-9-857_m0007,66.67,66.67,67.65,66.18,68.12,61.87,56.93,65.69,36.62,66.67,0.0,64.29,66.67,34.01,62.32,65.69
PT-TT-SNI-DSC-9-857_m0008,72.28,72.28,75.38,73.27,70.59,72.73,0.0,72.0,55.24,72.28,0.0,69.95,72.28,57.0,73.74,72.2
PT-TT-SNI-DSC-9-857_m0009,77.06,77.06,77.78,71.3,73.87,73.21,68.47,77.06,47.79,77.06,0.0,77.48,77.06,49.18,70.0,73.39
PT-TT-SNI-DSC-9-857_m0010,71.34,71.34,72.61,71.34,72.61,67.92,47.5,70.51,27.33,71.34,0.0,71.34,71.34,37.58,72.61,72.61
PT-TT-SNI-DSC-9-857_m0013,58.26,58.26,59.82,60.26,57.39,29.0,51.96,56.14,0.0,58.26,0.0,50.94,58.26,41.95,57.67,56.39
PT-TT-SNI-DSC-9-857_m0021,52.38,52.38,56.69,53.54,57.14,28.35,40.0,44.96,18.9,52.38,0.0,58.27,52.38,12.5,54.4,54.69
PT-TT-SNI-DSC-9-857_m0022,3.7,3.7,2.37,3.26,6.74,50.71,20.69,3.68,53.98,3.7,0.0,2.55,3.7,53.96,21.65,59.15
PT-TT-SNI-DSC-9-857_m0023,38.65,38.65,36.55,27.05,40.63,33.97,39.41,38.51,28.46,38.65,0.0,41.58,38.65,30.34,41.2,42.66
PT-TT-SNI-DSC-9-857_m0024,51.2,51.2,41.48,46.03,49.23,41.13,46.51,43.55,55.67,51.2,0.0,56.41,51.2,50.0,43.2,53.23
PT-TT-SNI-DGE-1-3835_m0004,55.56,55.56,62.96,64.15,59.26,42.62,59.65,55.56,50.91,55.56,0.0,55.56,55.56,24.14,56.6,59.65
PT-TT-SNI-DGE-1-3835_m0005,36.36,36.36,36.36,36.36,36.36,36.36,28.57,36.36,33.33,36.36,0.0,36.36,36.36,0.0,22.22,0.0
PT-TT-SNI-DGE-1-3835_m0006,34.78,34.78,40.0,40.0,39.13,36.36,31.82,38.3,22.64,34.78,0.0,36.36,34.78,8.33,40.0,32.56
PT-TT-SNI-DGE-1-3919_m0007,58.54,58.54,56.45,58.06,58.54,54.84,53.23,54.84,0.0,58.54,0.0,52.46,58.54,32.52,53.91,52.71
PT-TT-SNI-DGE-1-3919_m0008,60.32,60.32,72.41,72.41,59.02,62.3,56.25,61.29,0.0,60.32,0.0,63.33,60.32,39.22,52.0,56.25
PT-TT-SNI-DGE-1-3919_m0118,46.43,46.43,50.0,45.61,39.29,42.31,46.15,45.61,44.9,46.43,0.0,48.0,46.43,22.64,53.06,39.29
PT-TT-SNI-DGE-1-3919_m0119,41.51,41.51,5.88,22.22,36.36,41.38,42.11,36.36,22.22,41.51,0.0,45.61,41.51,36.07,38.46,45.61
PT-TT-SNI-DGE-1-3919_m0120,52.63,52.63,42.11,51.43,35.29,50.0,28.57,48.65,35.29,52.63,0.0,54.05,52.63,29.17,42.11,50.0
PT-TT-SNI-DGE-1-4097_m0001,0.0,0.0,6.67,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
PT-TT-SNI-DGE-1-4097_m0002,36.36,36.36,30.0,28.57,40.0,40.0,0.0,38.1,26.09,36.36,0.0,30.0,36.36,0.0,25.0,50.0
PT-TT-SNI-DGE-1-5107_m0002,21.43,21.43,48.48,52.94,21.43,20.69,0.0,21.43,16.0,21.43,0.0,16.0,21.43,16.67,21.43,41.18
PT-TT-SNI-DGE-1-5107_m0003,36.36,36.36,36.36,36.36,36.36,36.36,0.0,36.36,0.0,36.36,0.0,36.36,36.36,11.11,36.36,0.0
PT-TT-SNI-DGE-1-5527_m0005,16.0,16.0,52.94,52.94,21.43,52.94,35.29,16.0,11.43,16.0,0.0,16.0,16.0,12.5,21.43,50.0
PT-TT-SNI-DGE-1-5527_m0006,36.36,36.36,36.36,36.36,36.36,33.33,0.0,36.36,18.18,36.36,0.0,0.0,36.36,0.0,0.0,0.0
PT-TT-SNI-DGE-1-5583_m0002,38.81,38.81,47.37,44.16,46.15,3.45,30.77,34.78,7.14,38.81,0.0,34.92,38.81,8.57,35.29,16.39
PT-TT-SNI-DGE-1-5583_m0003,55.7,55.7,57.14,58.23,55.7,4.65,22.64,55.7,4.26,55.7,0.0,58.23,55.7,4.35,52.78,13.56
PT-TT-SNI-DGE-1-5964_m0003,19.35,19.35,19.35,19.35,19.35,37.84,8.0,19.35,6.45,19.35,0.0,14.29,19.35,11.11,19.35,44.44
PT-TT-SNI-DGE-1-5964_m0004,36.36,36.36,36.36,36.36,36.36,33.33,0.0,36.36,0.0,36.36,0.0,0.0,36.36,0.0,20.0,33.33
PT-TT-SNI-DGE-1-7208_m0004,62.22,62.22,56.3,41.32,62.6,58.16,59.26,61.19,24.81,62.22,0.0,57.58,62.22,29.85,63.7,56.34
PT-TT-SNI-DGE-1-7208_m0005,50.66,50.66,51.35,54.46,52.44,48.67,47.58,54.71,12.24,50.66,0.0,46.85,50.66,13.45,53.98,54.71
PT-TT-SNI-DGE-1-7208_m0012,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,20.0,36.36,0.0,36.36,36.36,0.0,36.36,0.0
PT-TT-SNI-DGE-1-7325_m0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53
PT-TT-SNI-DSC-13-12_m0001,57.14,57.14,60.61,58.82,57.14,54.55,58.82,58.82,42.86,57.14,0.0,46.67,57.14,13.79,60.61,57.14
PT-TT-SNI-DSC-19-81_m0001,6.9,6.9,12.12,14.81,9.09,0.0,0.0,7.41,14.29,6.9,0.0,16.67,6.9,3.92,10.53,17.02
PT-TT-SNI-DSC-24-210_m0001,13.16,13.16,14.71,17.39,10.26,11.76,0.0,16.0,15.0,13.16,0.0,20.22,13.16,9.64,17.2,25.53
PT-TT-SNI-DSC-9-169_m0001,23.91,23.91,30.11,24.0,25.53,19.18,0.0,17.58,9.21,23.91,0.0,16.67,23.91,9.64,13.79,15.25
PT-TT-SNI-DSC-9-24_m0001,37.5,37.5,50.0,50.47,38.02,15.73,0.0,40.32,10.2,37.5,0.0,25.64,37.5,0.0,38.26,35.9
PT-TT-SNI-DSC-9-417_m0002,34.59,34.59,30.89,32.59,37.68,21.57,0.0,27.74,0.0,34.59,0.0,39.13,34.59,5.67,20.8,36.36
PT-TT-SNI-DSC-9-6-1_m0002,36.36,36.36,60.61,56.0,41.44,24.0,0.0,35.51,26.42,36.36,0.0,43.96,36.36,11.03,31.07,37.93
PT-TT-SNI-DSC-9-848_m0000,18.49,18.49,35.09,29.23,25.37,15.87,0.0,16.67,13.84,18.49,0.0,25.32,18.49,1.65,12.12,8.33
PT-TT-SNI-DGE-1-6745_m0006,44.83,44.83,40.0,36.07,48.15,40.82,50.0,37.93,44.83,44.83,0.0,28.07,44.83,3.85,36.0,41.94
PT-TT-SNI-DSC-35-1-2182_m0673,21.43,21.43,25.0,13.79,29.85,40.45,51.22,21.05,51.22,21.43,0.0,32.43,21.43,9.64,44.16,23.73
PT-TT-SNI-DSC-35-1-2191_m0679,64.79,64.79,70.27,56.41,62.16,55.26,28.57,69.44,62.69,64.79,0.0,60.61,64.79,36.36,46.94,65.71
PT-TT-SNI-DSC-35-1-2193_m0681,64.1,64.1,62.79,53.93,61.73,59.26,6.15,63.29,43.59,64.1,0.0,58.33,64.1,21.92,64.1,59.26
PT-TT-SNI-DSC-35-1-2195_m0683,61.11,61.11,66.67,60.95,57.41,50.47,33.96,57.41,36.19,61.11,0.0,58.33,61.11,20.0,60.55,61.68
PT-TT-SNI-DSC-35-1-2219_m0705,65.96,65.96,65.61,56.83,66.32,61.78,55.91,60.73,40.86,65.96,0.0,60.1,65.96,30.11,70.21,71.28
PT-TT-SNI-DSC-35-2-6467_m0002,39.37,39.37,33.33,40.71,37.93,32.43,3.08,41.94,23.91,39.37,0.0,28.0,39.37,6.19,41.03,39.68
PT-TT-SNI-DSC-35-2-6474_m0009,29.63,29.63,25.29,27.27,30.0,22.73,0.0,24.1,22.86,29.63,0.0,16.0,29.63,10.67,29.89,32.91
PT-TT-SNI-DSC-35-2-6488_m0023,22.47,22.47,23.53,24.39,20.83,11.65,0.0,22.22,4.94,22.47,0.0,15.62,22.47,2.82,19.28,20.0
PT-TT-SNI-DSC-35-2-6506_m0039,37.33,37.33,34.88,25.58,38.71,30.23,0.0,31.17,24.0,37.33,0.0,36.59,37.33,23.68,37.5,32.91
PT-TT-SNI-DSC-35-2-6535_m0086,54.76,54.76,58.7,62.22,53.49,61.9,57.83,56.1,63.41,54.76,0.0,60.0,54.76,32.0,57.5,63.64
PT-TT-SNI-DSC-35-2-6550_m0102,45.9,45.9,44.93,40.85,44.62,40.58,0.0,47.54,31.5,45.9,0.0,44.29,45.9,2.13,45.9,46.15
PT-TT-SNI-DSC-35-2-6557_m0043,28.81,28.81,29.63,29.63,36.84,33.85,0.0,36.21,10.0,28.81,0.0,27.12,28.81,7.32,34.48,30.51
PT-TT-SNI-DSC-35-2-6586_m0073,37.11,37.11,35.29,26.09,35.05,26.37,0.0,37.11,17.95,37.11,0.0,28.57,37.11,8.82,34.34,32.65
PT-TT-SNI-DSC-35-2-6622_m0161,45.09,45.09,46.43,49.1,47.34,44.58,2.35,44.57,43.31,45.09,0.0,46.84,45.09,18.29,49.1,50.62
PT-TT-SNI-DSC-35-2-6738_m0277,56.86,56.86,56.19,55.45,56.62,50.0,0.0,56.86,60.1,56.86,0.0,55.34,56.86,17.51,56.86,59.33
PT-TT-SNI-DSC-35-2-6782_m0322,52.63,52.63,47.85,49.74,52.07,37.31,1.98,48.84,23.03,52.63,0.0,49.74,52.63,17.33,52.63,53.57
PT-TT-SNI-DSC-35-2-6796_m0337,52.27,52.27,47.19,50.0,52.51,38.01,0.0,52.57,25.77,52.27,0.0,44.72,52.27,21.95,52.27,51.43
PT-TT-SNI-DSC-35-2-6856_m0389,48.31,48.31,25.32,18.98,48.76,38.24,0.0,50.72,40.19,48.31,0.0,45.85,48.31,21.15,46.15,55.1
PT-TT-SNI-DSC-35-2-6858_m0391,48.35,48.35,39.58,35.42,47.31,35.85,0.0,46.67,30.09,48.35,0.0,33.33,48.35,20.37,55.67,47.06
PT-TT-SNI-DSC-35-2-6904_m0438,16.98,16.98,9.2,11.9,17.65,18.97,4.21,14.81,18.52,16.98,0.0,19.3,16.98,5.94,16.81,16.67
PT-TT-SNI-DSC-35-2-6935_m0469,66.46,66.46,65.0,64.22,65.82,62.82,0.0,65.83,64.22,66.46,0.0,61.34,66.46,39.76,66.46,66.25
PT-TT-SNI-DSC-35-2-6935_m0470,57.55,57.55,60.29,53.24,56.12,54.29,0.0,58.16,45.8,57.55,0.0,48.06,57.55,34.78,57.55,54.68
PT-TT-SNI-DSC-35-2-6966_m0501,53.38,53.38,48.95,23.68,57.43,55.44,0.0,59.11,41.75,53.38,0.0,50.68,53.38,24.67,55.1,53.38
PT-TT-SNI-DSC-35-2-7053_m0590,48.92,48.92,45.21,42.67,50.75,49.28,0.0,48.23,20.0,48.92,0.0,37.58,48.92,26.03,44.29,46.98
PT-TT-SNI-DSC-35-2-7078_m0616,43.86,43.86,41.82,40.35,43.33,33.93,0.0,47.86,14.95,43.86,0.0,40.0,43.86,15.65,43.86,39.32
PT-TT-SNI-DSC-35-2-7169_m0700,21.77,21.77,23.47,27.34,23.36,25.6,0.0,21.31,19.83,21.77,0.0,22.22,21.77,21.83,21.77,17.95
PT-TT-SNI-DSC-35-2-7178_m0709,35.71,35.71,33.94,34.25,35.09,38.22,0.0,35.93,15.5,35.71,0.0,38.46,35.71,16.06,35.71,39.69
PT-TT-SNI-DSC-35-3-703_m0458,45.16,45.16,34.48,24.32,39.08,32.18,0.0,43.96,29.79,45.16,0.0,44.68,45.16,10.75,41.86,37.89
PT-TT-SNI-DSC-35-3-726_m0480,44.94,44.94,60.22,59.34,46.94,31.75,26.67,40.0,40.0,44.94,0.0,39.58,44.94,5.63,42.11,34.88
PT-TT-SNI-DSC-35-4-2431_m0200,50.49,50.49,52.43,40.0,51.43,50.0,0.0,50.0,35.64,50.49,0.0,48.98,50.49,18.18,50.94,52.83
PT-TT-SNI-DSC-35-4-2565_m0285,65.15,65.15,71.54,59.13,69.29,63.87,0.0,64.12,62.99,65.15,0.0,59.68,65.15,14.29,65.15,72.0
PT-TT-SNI-DSC-35-4-2803_m0513,25.0,25.0,25.35,23.68,17.95,44.66,47.27,25.0,43.81,25.0,0.0,11.9,25.0,18.33,52.73,44.44
PT-TT-SNI-DSC-35-4-2868_m0563,68.09,68.09,69.01,57.75,69.01,65.28,40.85,68.09,53.24,68.09,0.0,55.17,68.09,36.49,71.43,69.01
PT-TT-SNI-DSC-35-4-2896_m0582,63.81,63.81,64.42,64.42,62.5,51.96,34.15,58.1,54.73,63.81,0.0,52.48,63.81,24.55,63.77,65.07
PT-TT-SNI-DSC-35-4-3089_m0737,15.69,15.69,14.74,9.09,15.69,17.7,0.0,15.84,13.79,15.69,0.0,17.65,15.69,5.45,17.65,14.29
PT-TT-SNI-DSC-35-4-3165_m0812,65.87,65.87,66.14,50.39,65.34,59.02,38.68,60.32,45.38,65.87,0.0,55.06,65.87,32.31,65.87,65.34
PT-TT-SNI-DSC-35-4-3858_m0904,35.82,35.82,39.39,36.36,37.14,38.1,25.81,33.33,20.59,35.82,0.0,32.79,35.82,29.41,40.68,43.33
PT-TT-SNI-DSC-35-4-3926_m0972,62.07,62.07,63.95,58.06,66.27,56.83,46.41,61.27,34.25,62.07,0.0,51.37,62.07,30.94,58.76,65.12
PT-TT-SNI-DSC-35-5-4347_m0076,72.06,72.06,62.68,69.17,69.31,59.15,0.0,68.13,40.14,72.06,0.0,66.41,72.06,3.48,75.0,69.09
PT-TT-SNI-DSC-35-5-4347_m0077,71.15,71.15,72.55,63.46,70.48,64.76,0.0,66.67,51.85,71.15,0.0,63.46,71.15,18.0,66.67,70.48
PT-TT-SNI-DSC-35-5-4581_m0288,53.33,53.33,11.11,0.0,57.52,51.22,0.0,60.0,58.9,53.33,0.0,55.78,53.33,16.67,52.7,57.75
PT-TT-SNI-DSC-35-5-4666_m0370,58.44,58.44,51.66,40.0,59.86,56.05,0.0,55.48,53.9,58.44,0.0,54.09,58.44,15.95,61.04,59.6
PT-TT-SNI-DSC-35-5-4683_m0384,52.38,52.38,50.6,35.14,43.59,37.78,0.0,42.35,36.59,52.38,0.0,52.27,52.38,18.18,47.73,51.22
PT-TT-SNI-DSC-35-5-4685_m0386,41.48,41.48,39.44,39.69,37.14,37.41,0.0,40.29,34.04,41.48,0.0,38.85,41.48,9.09,39.72,43.08
PT-TT-SNI-DSC-35-5-4772_m0468,59.7,59.7,62.69,45.9,61.54,44.78,0.0,59.7,45.16,59.7,0.0,59.46,59.7,12.5,59.74,60.53
